Country,Exchange,Ticker,Full Company Name,Sector,Industry,ISIC_Section,ISIC_Description,Incorporated in,Market_Tier,Stock_Price,Volume,Market_Cap
Indonesia,IDX,ASRI,ALAM SUTERA REALTY Tbk,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,126.0,6997300,2475825823744
Indonesia,IDX,ASRM,Asuransi Ramayana Tbk,Keuangan,Asuransi,K,Financial and insurance activities,INDONESIA,,280.0,11200,357837766656
Indonesia,IDX,ASSA,Adi Sarana Armada Tbk,Transportasi & Logistik,Pengangkutan Darat Penumpang,H,Transportation and storage,INDONESIA,,1025.0,2327700,3783416086528
Indonesia,IDX,ATAP,PT Trimitra Prawara Goldland Tbk,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,760.0,2832200,950000025600
Indonesia,IDX,ATIC,PT Anabatic Technologies Tbk,Teknologi,Jasa & Konsultan TI,J,Information and communication,INDONESIA,,540.0,136100,1250295152640
Indonesia,IDX,ATLA,PT Atlantis Subsea Indonesia Tbk,Energi,"Pendukung Minyak, Gas & Batu Bara",B,Mining and quarrying,INDONESIA,,50.0,3893400,309977481216
Indonesia,IDX,AUTO,Astra Otoparts Tbk,Barang Konsumen Non-Primer,Komponen Otomotif,C,Manufacturing,INDONESIA,,2560.0,2267600,12338516197376
Indonesia,IDX,AVIA,PT Avia Avian Tbk,Barang Baku,Barang Kimia,C,Manufacturing,INDONESIA,,390.0,9298400,23131964047360
Indonesia,IDX,AWAN,PT Era Digital Media Tbk,Teknologi,Aplikasi & Jasa Internet,J,Information and communication,INDONESIA,,144.0,200700,494640005120
Indonesia,IDX,AXIO,PT Tera Data Indonusa Tbk,Teknologi,Perangkat Komputer,J,Information and communication,INDONESIA,,112.0,325500,654094172160
Indonesia,IDX,AYAM,PT Janu Putra Sejahtera Tbk.,Barang Konsumen Primer,Produk Makanan Pertanian,A,"Agriculture, forestry and fishing",INDONESIA,,300.0,38184000,1199999942656
Indonesia,IDX,AYLS,PT Agro Yasa Lestari Tbk,Barang Baku,Material Konstruksi,F,Construction,INDONESIA,,165.0,2920100,140814827520
Indonesia,IDX,BABP,PT Bank MNC Internasional Tbk.,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,51.0,3876400,2267408760832
Indonesia,IDX,BABY,PT Multitrend Indo Tbk.,Barang Konsumen Non-Primer,Ritel Khusus,C,Manufacturing,INDONESIA,,210.0,714600,549407621120
Indonesia,IDX,BACA,PT Bank Capital Indonesia Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,131.0,2199900,2613846212608
Indonesia,IDX,BAIK,PT Bersama Mencapai Puncak Tbk.,Barang Konsumen Non-Primer,Pariwisata & Rekreasi,I,Accommodation and food service activities,INDONESIA,,260.0,5994200,293149376512
Indonesia,IDX,BAJA,Saranacentral Bajatama Tbk,Barang Baku,Logam & Mineral,B,Mining and quarrying,INDONESIA,,132.0,425100,237599997952
Indonesia,IDX,BALI,PT Bali Towerindo Sentra Tbk.,Infrastruktur,Jasa Telekomunikasi Nirkabel,J,Information and communication,INDONESIA,,1225.0,12600,4819876052992
Indonesia,IDX,BANK,PT Bank Aladin Syariah Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,430.0,352200,6361065193472
Indonesia,IDX,BAPA,Bekasi Asri Pemula Tbk,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,71.0,864400,46986698752
Indonesia,IDX,BAPI,PT Bhakti Agung Propertindo Tbk.,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,28.0,4588500,156575432704
Indonesia,IDX,BATA,Sepatu Bata Tbk,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,I,Accommodation and food service activities,INDONESIA,,63.0,5100,81900003328
Indonesia,IDX,BATR,PT Benteng Api Technic Tbk,Barang Baku,Material Konstruksi,F,Construction,INDONESIA,,84.0,889900,254103126016
Indonesia,IDX,BAUT,PT Mitra Angkasa Sejahtera Tbk,Barang Konsumen Non-Primer,Ritel Khusus,G,Wholesale and retail trade,INDONESIA,,29.0,1526500,139205296128
Indonesia,IDX,BAYU,Bayu Buana Tbk,Barang Konsumen Non-Primer,Pariwisata & Rekreasi,I,Accommodation and food service activities,INDONESIA,,1400.0,200100,494509064192
Indonesia,IDX,BBCA,PT Bank Central Asia Tbk.,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,6775.0,160903900,833413305073664
Indonesia,IDX,BBHI,PT Allo Bank Indonesia Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,1275.0,535100,27706076954624
Indonesia,IDX,BBKP,PT Bank KB Indonesia Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,62.0,68595100,11649027145728
Indonesia,IDX,BBLD,Buana Finance Tbk,Keuangan,Pembiayaan Konsumen,K,Financial and insurance activities,INDONESIA,,785.0,20300,1291949965312
Indonesia,IDX,BBMD,PT Bank Mestika Dharma Tbk.,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,1980.0,1100,7977666871296
Indonesia,IDX,BBNI,PT Bank Negara Indonesia (Persero) Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,4390.0,209818800,163557337464832
Indonesia,IDX,BBRI,PT Bank Rakyat Indonesia (Persero) Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,3480.0,204208500,527425305837568
Indonesia,IDX,BBRM,Pelayaran Nasional Bina Buana Raya Tbk,Energi,Batu Bara,B,Mining and quarrying,INDONESIA,,130.0,4610200,1102333739008
Indonesia,IDX,BBSI,PT Krom Bank Indonesia Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,4700.0,8900,17271200153600
Indonesia,IDX,BBSS,PT Bumi Benowo Sukses Sejahtera Tbk,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,156.0,680900,748802473984
Indonesia,IDX,BBTN,PT Bank Tabungan Negara (Persero) Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,1270.0,11983000,17823745179648
Indonesia,IDX,BBYB,PT Bank Neo Commerce Tbk.,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,288.0,48816100,3844938924032
Indonesia,IDX,BCAP,MNC Kapital Indonesia Tbk,Keuangan,Perusahaan Holding & Investasi,K,Financial and insurance activities,INDONESIA,,50.0,6949300,2130942623744
Indonesia,IDX,BCIC,PT Bank JTrust Indonesia Tbk.,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,123.0,219500,2227520405504
Indonesia,IDX,BCIP,Bumi Citra Permai Tbk,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,68.0,870600,97234255872
Indonesia,IDX,BDKR,PT Berdikari Pondasi Perkasa Tbk.,Infrastruktur,Konstruksi Bangunan,F,Construction,INDONESIA,,149.0,18427700,704040140800
Indonesia,IDX,BDMN,PT Bank Danamon Indonesia Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,2510.0,834500,24531617972224
Indonesia,IDX,BEBS,PT Berkah Beton Sadaya Tbk,Barang Baku,Material Konstruksi,F,Construction,INDONESIA,,5.0,24293900,224999997440
Indonesia,IDX,BEEF,PT Estika Tata Tiara Tbk.,Barang Konsumen Primer,Makanan Olahan,C,Manufacturing,INDONESIA,,260.0,5859900,2111264784384
Indonesia,IDX,BEER,PT Jobubu Jarum Minahasa Tbk,Barang Konsumen Primer,Minuman,C,Manufacturing,INDONESIA,,133.0,269900,532000014336
Indonesia,IDX,BEKS,PT Bank Pembangunan Daerah Banten Tbk.,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,27.0,9332100,1400501829632
Indonesia,IDX,BELI,PT Global Digital Niaga Tbk,Teknologi,Aplikasi & Jasa Internet,J,Information and communication,INDONESIA,,434.0,111600,58955812306944
Indonesia,IDX,BELL,PT Trisula Textile Industries Tbk,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,C,Manufacturing,INDONESIA,,111.0,21692200,800579846144
Indonesia,IDX,BESS,PT Batulicin Nusantara Maritim Tbk.,Energi,Batu Bara,B,Mining and quarrying,INDONESIA,,1205.0,439900,4145748901888
Indonesia,IDX,BEST,Bekasi Fajar Industrial Estate Tbk,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,101.0,7142200,974378369024
Indonesia,IDX,BFIN,BFI Finance Indonesia Tbk,Keuangan,Pembiayaan Konsumen,K,Financial and insurance activities,INDONESIA,,720.0,6913200,10691555622912
Indonesia,IDX,BGTG,PT Bank Ganesha Tbk.,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,120.0,10460400,2876519481344
Indonesia,IDX,BHAT,PT Bhakti Multi Artha Tbk.,Keuangan,Asuransi,K,Financial and insurance activities,INDONESIA,,1400.0,24400,6999999774720
Indonesia,IDX,BHIT,PT MNC Asia Holding Tbk,Perindustrian,Perusahaan Holding Multi-sektor,S,Other service activities,INDONESIA,,33.0,11117700,2756910514176
Indonesia,IDX,BIKA,PT Binakarya Jaya Abadi Tbk.,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,55.0,0,32575399936
Indonesia,IDX,BIKE,PT Sepeda Bersama Indonesia Tbk,Barang Konsumen Non-Primer,Peralatan Olah Raga & Barang Hobi,I,Accommodation and food service activities,INDONESIA,,380.0,5948500,491688230912
Indonesia,IDX,BIMA,Primarindo Asia Infrastructure Tbk,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,I,Accommodation and food service activities,INDONESIA,,82.0,50700,49870409728
Indonesia,IDX,BINA,PT Bank Ina Perdana Tbk.,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,4480.0,10200,27483529281536
Indonesia,IDX,BINO,PT Perma Plasindo Tbk,Perindustrian,Jasa Komersial,C,Manufacturing,INDONESIA,,124.0,162600,282139197440
Indonesia,IDX,BIPI,PT Astrindo Nusantara Infrastruktur Tbk.,Energi,Batu Bara,B,Mining and quarrying,INDONESIA,,195.0,1103611400,12423488602112
Indonesia,IDX,BIPP,Bhuwanatala Indah Permai Tbk,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,58.0,10829200,291662823424
Indonesia,IDX,BIRD,PT Blue Bird Tbk,Transportasi & Logistik,Pengangkutan Darat Penumpang,H,Transportation and storage,INDONESIA,,1665.0,354500,4165996380160
Indonesia,IDX,BISI,BISI INTERNATIONAL Tbk,Barang Konsumen Primer,Produk Makanan Pertanian,A,"Agriculture, forestry and fishing",INDONESIA,,835.0,274600,2505000091648
Indonesia,IDX,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,805.0,2488300,8469762015232
Indonesia,IDX,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,560.0,6319900,8408678793216
Indonesia,IDX,BKDP,Bukit Darmo Property Tbk,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,45.0,12197000,338129649664
Indonesia,IDX,BKSL,Sentul City Tbk,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,101.0,168626800,16938599186432
Indonesia,IDX,BKSW,PT Bank QNB Indonesia Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,57.0,2465500,2004008828928
Indonesia,IDX,BLES,PT Superior Prima Sukses Tbk,Barang Baku,Material Konstruksi,F,Construction,INDONESIA,,120.0,1057500,1066824761344
Indonesia,IDX,BLOG,PT Trimitra Trans Persada Tbk,Transportasi & Logistik,Logistik & Pengantaran,H,Transportation and storage,INDONESIA,,370.0,1913600,1250410233856
Indonesia,IDX,BLTA,Berlian Laju Tanker Tbk,Transportasi & Logistik,Logistik & Pengantaran,H,Transportation and storage,INDONESIA,,45.0,4027000,1165912178688
Indonesia,IDX,BLTZ,PT Graha Layar Prima Tbk.,Barang Konsumen Non-Primer,Pariwisata & Rekreasi,I,Accommodation and food service activities,INDONESIA,,2700.0,900,2359630233600
Indonesia,IDX,BLUE,PT Berkah Prima Perkasa Tbk,Perindustrian,Jasa Komersial,C,Manufacturing,INDONESIA,,3500.0,262500,1462999973888
Indonesia,IDX,BMAS,PT Bank Maspion Indonesia Tbk.,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,500.0,3700,9051331100672
Indonesia,IDX,BMBL,PT Lavender Bina Cendikia Tbk,Barang Konsumen Non-Primer,Pendidikan & Jasa Penunjang,P,Education,INDONESIA,,31.0,3016200,31932512256
Indonesia,IDX,BMHS,PT Bundamedik Tbk,Kesehatan,Penyedia Jasa Kesehatan,Q,Human health and social work activities,INDONESIA,,186.0,458800,1600235503616
Indonesia,IDX,BMRI,PT Bank Mandiri (Persero) Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,4730.0,274977700,441466669236224
Indonesia,IDX,BMSR,Bintang Mitra Semestaraya Tbk,Barang Baku,Barang Kimia,C,Manufacturing,INDONESIA,,322.0,111700,373262385152
Indonesia,IDX,BMTR,PT Global Mediacom Tbk,Barang Konsumen Non-Primer,Media,J,Information and communication,INDONESIA,,126.0,29171000,2060416450560
Indonesia,IDX,BNBA,Bank Bumi Arta Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,620.0,464600,2100560003072
Indonesia,IDX,BNBR,Bakrie & Brothers Tbk,Perindustrian,Perusahaan Holding Multi-sektor,S,Other service activities,INDONESIA,,117.0,560294600,20289769439232
Indonesia,IDX,BNGA,PT Bank CIMB Niaga Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,1785.0,8221400,45134385250304
