Ticker,Company_name,Market_Cap,Stock_price,Volume,Industry,Sector,Revenue,Rev. Growth,Net Income,Free_Cash_Flow
CMNT,PT Cemindo Gemilang Tbk,13.36T,780.00,"34,346,900",Building Materials,Materials,8.79T,-4.92%,-726.38B,1.28T
MBSS,PT Mitrabahtera Segara Sejati Tbk,2.50T,"1,395.00","863,6",Marine Shipping,Industrials,888.69B,1.12%,405.38B,92.36B
BDMN,PT Bank Danamon Indonesia Tbk,24.82T,"2,530.00","1,094,500",Banks - Regional,Financials,16.58T,4.18%,3.68T,"-11,782.18B"
SSTM,PT Sunson Textile Manufacturer Tbk,1.02T,875.00,"2,096,500",Textile Manufacturing,Consumer Discretionary,259.63B,27.39%,-23.91B,-213.35M
BBCA,PT Bank Central Asia Tbk,"1,072.25T","8,700.00","125,731,500",Banks - Regional,Financials,110.46T,5.92%,57.16T,"-28,046.31B"
PPRO,PT Pembangunan Perumahan Properti Tbk,1.30T,21.00,"5,368,400",Real Estate - Development,Real Estate,401.67B,-55.38%,-406.30B,-490.76B
YUPI,PT Yupi Indo Jelly Gum Tbk,14.31T,"1,675.00","136,3",Confectioners,Consumer Staples,2.93T,-6.41%,629.55B,540.78B
IBST,PT Inti Bangun Sejahtera Tbk,6.82T,"5,000.00",500,Telecom Services,Communication Services,853.16B,-7.29%,395.29B,825.57B
POLU,PT Golden Flower Tbk,18.81T,"25,025.0","39,7",Apparel Manufacturing,Consumer Discretionary,152.75B,12.38%,9.21B,32.16B
YULE,PT Yulie Sekuritas Indonesia Tbk,4.29T,"2,690.00","61,3",Capital Markets,Financials,84.29B,-0.88%,51.25B,88.82B
AREA,PT Dunia Virtual Online Tbk,1.41T,540.00,"947,2",Information Technology Services,Technology,63.87B,25.28%,8.73B,5.22B
MIKA,PT Mitra Keluarga Karyasehat Tbk,36.02T,"2,590.00","7,018,300",Medical Care Facilities,Healthcare,5.24T,10.78%,1.29T,1.03T
MAPA,PT Map Aktif Adiperkasa Tbk,22.66T,795.00,"151,627,600",Specialty Retail,Consumer Discretionary,18.71T,14.12%,1.41T,1.85T
BWPT,PT Eagle High Plantations Tbk,4.36T,141.00,"63,085,800",Packaged Foods,Consumer Staples,5.57T,42.07%,352.66B,1.08T
KRAS,PT Krakatau Steel (Persero) Tbk,6.50T,334.00,"14,337,100",Steel,Materials,16.74T,18.29%,879.45B,308.15B
PMJS,PT Putra Mandiri Jembar Tbk,1.61T,117.00,"636,3",Auto & Truck Dealerships,Consumer Discretionary,8.98T,-5.17%,95.34B,70.21B
BLTZ,PT Graha Layar Prima Tbk,2.10T,"2,400.00",300,Entertainment,Communication Services,1.20T,3.70%,-54.04B,125.14B
ERAL,PT Sinar Eka Selaras Tbk,1.50T,288.00,"4,317,900",Specialty Retail,Consumer Discretionary,5.70T,27.71%,169.12B,-55.59B
