Country,Exchange,Ticker,Full Company Name,Sector,Industry,ISIC_Section,ISIC_Description,Incorporated in,Market_Tier,Stock_Price,Volume,Market_Cap,MCap_USD_B,log_MCap,Exchange_Name,Country_RU,has_mcap,has_price,has_volume,has_isic,Revenue,Revenue_Growth,Net_Income,Free_Cash_Flow,Profit_Margin,FCF_Margin,Is_Profitable,PE_Ratio,Dividend_Yield,Cluster
Indonesia,IDX,TGUK,PT Platinum Wahab Nusantara Tbk.,Barang Konsumen Primer,Makanan Olahan,C,Manufacturing,INDONESIA,,137.0,155950800.0,489288925184.0,0.030580557824,26.916219000985745,IDX,Индонезия,1,1,1,True,7210000000.0,-94.55,-91460000000.0,-6570000000.0,-200.0,-91.12343966712899,0.0,,,2
Indonesia,IDX,TIFA,KDB Tifa Finance Tbk,Keuangan,Pembiayaan Konsumen,K,Financial and insurance activities,INDONESIA,,358.0,102600.0,1271692263424.0,0.079480766464,27.87136962030595,IDX,Индонезия,1,1,1,True,145180000000.0,-0.7,59220000000.0,65220000000.0,40.790742526518805,44.92354318776691,1.0,,,0
Indonesia,IDX,TINS,PT Timah Tbk.,Barang Baku,Logam & Mineral,B,Mining and quarrying,INDONESIA,,3320.0,29207500.0,24726539862016.0,1.5454087413759998,30.838898271053786,IDX,Индонезия,1,1,1,True,9210000000000.0,-10.32,880290000000.0,-22740000000.0,9.557980456026058,-0.24690553745928337,1.0,,,0
Indonesia,IDX,TIRA,Tira Austenite Tbk,Perindustrian,Perdagangan Aneka Barang Perindustrian,C,Manufacturing,INDONESIA,,1120.0,137600.0,658559991808.0,0.041159999488,27.21332145771278,IDX,Индонезия,1,1,1,True,280340000000.0,-1.45,-18820000.0,-991240000.0,-0.006713276735392737,-0.35358493258186485,0.0,,,0
Indonesia,IDX,TIRT,Tirta Mahakam Resources Tbk,Barang Baku,Perhutanan & Kertas,A,"Agriculture, forestry and fishing",INDONESIA,,890.0,5134600.0,900479516672.0,0.056279969792000006,27.52619325468739,IDX,Индонезия,1,1,1,True,40720000.0,-40.19,-51500000000.0,,-200.0,,0.0,,,2
Indonesia,IDX,TKIM,Pabrik Kertas Tjiwi Kimia Tbk,Barang Baku,Perhutanan & Kertas,A,"Agriculture, forestry and fishing",INDONESIA,,9050.0,2605500.0,28174675083264.0,1.760917192704,30.969444643694334,IDX,Индонезия,1,1,1,True,16100000000000.0,-5.47,6810000000000.0,1850000000000.0,42.29813664596273,11.490683229813664,1.0,,,0
Indonesia,IDX,TLDN,PT Teladan Prima Agro Tbk,Barang Konsumen Primer,Produk Makanan Pertanian,A,"Agriculture, forestry and fishing",INDONESIA,,610.0,479300.0,7897383698432.0,0.493586481152,29.697552643136504,IDX,Индонезия,1,1,1,True,5160000000000.0,29.22,1260000000000.0,1090000000000.0,24.418604651162788,21.124031007751938,1.0,,,0
Indonesia,IDX,TLKM,PT Telkom Indonesia (Persero) Tbk,Infrastruktur,Jasa Telekomunikasi,J,Information and communication,INDONESIA,,3050.0,164842700.0,302139775647744.0,18.883735977984003,33.34191085949981,IDX,Индонезия,1,1,1,True,147370000000000.0,-1.89,21760000000000.0,41550000000000.0,14.76555608332768,28.194340774920267,1.0,,,0
Indonesia,IDX,TMAS,PT Temas Tbk.,Transportasi & Logistik,Logistik & Pengantaran,H,Transportation and storage,INDONESIA,,125.0,13158300.0,7108607082496.0,0.444287942656,29.59232743091602,IDX,Индонезия,1,1,1,True,4310000000000.0,0.08,634120000000.0,-704530000000.0,14.71276102088167,-16.346403712296983,1.0,,,0
Indonesia,IDX,TMPO,Tempo Inti Media Tbk,Barang Konsumen Non-Primer,Media,J,Information and communication,INDONESIA,,122.0,9624200.0,129116659712.0,0.008069791232,25.58398217149278,IDX,Индонезия,1,1,1,True,199940000000.0,-21.97,-1930000000.0,1110000000.0,-0.9652895868760627,0.5551665499649895,0.0,,,0
