Country,Exchange,Ticker,Full Company Name,ISIC_Section,Market_Cap_USD,Volume,turnover,KMeans,Hierarchical,GMM,DBSCAN
Indonesia,IDX,INTA,Intraco Penta Tbk,C,16092687.36,2143100.0,0.13317228826099559,1,0,1,0
Indonesia,IDX,INTD,Inter-Delta Tbk,G,8729462.784,772900.0,0.08853923994230525,1,0,1,0
Indonesia,IDX,INTP,Indocement Tunggal Prakarsa Tbk,F,1208488427.52,505500.0,0.0004182911383250579,0,1,1,0
Indonesia,IDX,IOTF,PT Sumber Sinergi Makmur Tbk,J,18516041.728,6799600.0,0.3672275154639358,1,0,1,0
Indonesia,IDX,IPAC,PT Era Graharealty Tbk,L,8667549.696,140500.0,0.016209886868585193,0,1,0,0
Indonesia,IDX,IPCC,PT Indonesia Kendaraan Terminal Tbk.,H,134674120.704,1355100.0,0.010062066809245198,0,1,1,0
Indonesia,IDX,IPCM,PT Jasa Armada Indonesia Tbk.,H,104875827.2,653900.0,0.006234992537918213,0,1,1,0
Indonesia,IDX,IPOL,Indopoly Swakarsa Industry Tbk,G,47117213.696,220000.0,0.004669206490422773,0,1,1,0
Indonesia,IDX,IPPE,PT Indo Pureco Pratama Tbk,C,4024999.936,2621200.0,0.651229824019555,1,0,1,0
Indonesia,IDX,IPTV,PT MNC Vision Networks Tbk.,C,110769618.944,11011900.0,0.09941263773388177,1,0,1,0
Indonesia,IDX,IRRA,PT Itama Ranoraya Tbk.,Q,36187615.232,1519200.0,0.04198121346931425,1,0,0,0
Indonesia,IDX,IRSX,PT Folago Global Nusantara Tbk,J,228421386.24,80499500.0,0.35241665119491045,1,0,1,0
Indonesia,IDX,ISAP,PT Isra Presisi Indonesia Tbk,C,7286866.432,27250000.0,3.739604705848957,1,0,1,0
Indonesia,IDX,ISAT,PT Indosat Tbk,J,4333702742.016,14608800.0,0.003370974169124511,0,1,0,0
Indonesia,IDX,ISEA,PT Indo American Seafoods Tbk,C,6515687.424,9095900.0,1.3960000546520999,1,0,1,0
Indonesia,IDX,ISSP,PT Steel Pipe Industry of Indonesia Tbk,B,208018620.416,1789300.0,0.008601633817307894,0,1,1,0
Indonesia,IDX,ITIC,PT Indonesian Tobacco Tbk.,C,15521880.064,359700.0,0.023173739167992584,0,0,1,0
Indonesia,IDX,ITMA,SUMBER ENERGI ANDALAN Tbk,D,145487118.336,1911900.0,0.013141369640606256,0,1,0,0
Indonesia,IDX,ITMG,Indo Tambangraya Megah Tbk,D,1966802468.864,6875400.0,0.0034957247150351318,0,1,0,0
Indonesia,IDX,JARR,PT Jhonlin Agro Raya Tbk,C,1052872671.232,885200.0,0.0008407474371655968,0,1,0,0
Indonesia,IDX,JAST,PT Jasnita Telekomindo Tbk.,J,6427793.408,3502200.0,0.5448526076835605,1,0,1,0
Indonesia,IDX,JATI,PT Informasi Teknologi Indonesia Tbk.,J,20798566.4,11706000.0,0.5628272533245369,1,0,1,0
Indonesia,IDX,JAWA,Jaya Agra Wattie Tbk,C,145082007.552,1797900.0,0.012392301639165012,0,1,0,0
Indonesia,IDX,JAYA,PT Armada Berjaya Trans Tbk.,H,5439777.28,10054000.0,1.8482374337208158,1,0,1,0
Indonesia,IDX,JECC,Jembo Cable Company Tbk,C,42288750.592,10200.0,0.00024119889704023536,0,1,0,0
Indonesia,IDX,JGLE,PT Graha Andrasentra Propertindo Tbk.,C,81859420.16,52591200.0,0.6424575192104561,1,0,1,0
